t,m
0,0
1000,-0.0002
2000,0.008
3000,0.0142
4000,0.0134
5000,0.0156
6000,0.0116
7000,0.0162
8000,0.0126
9000,0.018
10000,0.019
11000,0.0194
12000,0.0246
13000,0.0242
14000,0.02
15000,0.0216
16000,0.0266
17000,0.0226
18000,0.0304
19000,0.0312
20000,0.0318
21000,0.0322
22000,0.035
23000,0.0374
24000,0.0402
25000,0.0388
26000,0.0348
27000,0.033
28000,0.0396
29000,0.0432
30000,0.0346
31000,0.0314
32000,0.0308
33000,0.0308
34000,0.0302
35000,0.0356
36000,0.0362
37000,0.0364
38000,0.0372
39000,0.0374
40000,0.0406
41000,0.0454
42000,0.0478
43000,0.0494
44000,0.05
45000,0.0458
46000,0.045
47000,0.0524
48000,0.049
49000,0.0444
50000,0.043
51000,0.0382
52000,0.0358
53000,0.0362
54000,0.0326
55000,0.0348
56000,0.0316
57000,0.0288
58000,0.0306
59000,0.0316
60000,0.033
61000,0.0356
62000,0.0414
63000,0.045
64000,0.0476
65000,0.0498
66000,0.0522
67000,0.0568
68000,0.0558
69000,0.059
70000,0.0638
71000,0.0658
72000,0.0712
73000,0.0758
74000,0.0776
75000,0.0784
76000,0.0802
77000,0.076
78000,0.0738
79000,0.0722
80000,0.0728
81000,0.0754
82000,0.0818
83000,0.0812
84000,0.0812
85000,0.0862
86000,0.0846
87000,0.0896
88000,0.0906
89000,0.0902
90000,0.0912
91000,0.0898
92000,0.093
93000,0.0908
94000,0.0924
95000,0.0988
96000,0.0968
97000,0.098
98000,0.103
99000,0.1086
