p,h,<m>,sd(m)
1,0,0.020528,0.0127562
1,0.0952381,0.2538,0.0170365
1,0.190476,0.512776,0.0149232
1,0.285714,0.748712,0.0106655
1,0.380952,0.909736,0.00987874
1,0.47619,0.973032,0.00153642
1,0.571429,0.988208,0.00069623
1,0.666667,0.98484,0.000905097
1,0.761905,0.989432,0.00122857
1,0.857143,0.987968,0.000756159
1,0.952381,0.991648,0.000718398
1,1.04762,0.992088,0.00037981
1,1.14286,0.992288,0.000724607
1,1.2381,0.993328,0.000587551
1,1.33333,0.9944,0.000685857
1,1.42857,0.994704,0.000617401
1,1.52381,0.99512,0.000815843
1,1.61905,0.996144,0.000636289
1,1.71429,0.996296,0.000412291
1,1.80952,0.996968,0.000451416
1,1.90476,0.997128,0.000616779
2,1.90476,0.995888,0.00076122
2,1.80952,0.996968,0.000333131
2,1.71429,0.996712,0.000565912
2,1.61905,0.995824,0.000684269
2,1.52381,0.996024,0.00065561
2,1.42857,0.994048,0.0010171
2,1.33333,0.992632,0.000440654
2,1.2381,0.993616,0.000601119
2,1.14286,0.992832,0.000772901
2,1.04762,0.990344,0.000923506
2,0.952381,0.98892,0.00115378
2,0.857143,0.990112,0.0013542
2,0.761905,0.989024,0.000693559
2,0.666667,0.986232,0.000809306
2,0.571429,0.987544,0.000882759
2,0.47619,0.981544,0.00148649
2,0.380952,0.97856,0.000874528
2,0.285714,0.97356,0.00116207
2,0.190476,0.971336,0.00227172
2,0.0952381,0.96268,0.00170176
2,-1.11022e-16,0.96036,0.00116756
2,-0.0952381,0.948832,0.00201806
2,-0.190476,0.921248,0.00210924
2,-0.285714,0.850152,0.00991585
2,-0.380952,0.651936,0.0192694
2,-0.47619,0.174216,0.0465708
2,-0.571429,-0.643592,0.0420408
2,-0.666667,-0.980576,0.00218014
2,-0.761905,-0.990064,0.00117673
2,-0.857143,-0.98792,0.000713302
2,-0.952381,-0.991408,0.00152785
2,-1.04762,-0.992336,0.00100355
2,-1.14286,-0.991808,0.00093206
2,-1.2381,-0.9934,0.000469894
2,-1.33333,-0.993576,0.000835837
2,-1.42857,-0.994736,0.000517594
2,-1.52381,-0.995264,0.000743441
2,-1.61905,-0.996368,0.000351818
2,-1.71429,-0.996064,0.000564893
2,-1.80952,-0.996064,0.000600586
2,-1.90476,-0.996608,0.000567041
3,-1.90476,-0.99716,0.000565685
3,-1.80952,-0.997424,0.000725137
3,-1.71429,-0.99664,0.000706541
3,-1.61905,-0.996704,0.000384167
3,-1.52381,-0.996392,0.000443549
3,-1.42857,-0.99428,0.000614492
3,-1.33333,-0.994168,0.000472203
3,-1.2381,-0.99272,0.000765245
3,-1.14286,-0.99296,0.000777689
3,-1.04762,-0.99328,0.000493153
3,-0.952381,-0.991312,0.000784
3,-0.857143,-0.9908,0.000695126
3,-0.761905,-0.986272,0.000821472
3,-0.666667,-0.98512,0.00118659
3,-0.571429,-0.983504,0.00149036
3,-0.47619,-0.982304,0.000782038
3,-0.380952,-0.9802,0.00119867
3,-0.285714,-0.97192,0.00183565
3,-0.190476,-0.970432,0.00163529
3,-0.0952381,-0.960624,0.00129778
3,1.11022e-16,-0.952968,0.00199253
3,0.0952381,-0.947224,0.00262744
3,0.190476,-0.926384,0.00426368
3,0.285714,-0.850952,0.00926175
3,0.380952,-0.688144,0.01985
3,0.47619,-0.284072,0.0372456
3,0.571429,0.505976,0.0524798
3,0.666667,0.96136,0.00967173
3,0.761905,0.99052,0.00121194
3,0.857143,0.98868,0.00130966
3,0.952381,0.9896,0.00119465
3,1.04762,0.990784,0.00156657
3,1.14286,0.99096,0.000949947
3,1.2381,0.994184,0.00123408
3,1.33333,0.993576,0.000718487
3,1.42857,0.995288,0.000625025
3,1.52381,0.994984,0.000733038
3,1.61905,0.994504,0.000496774
3,1.71429,0.995496,0.000344651
3,1.80952,0.99604,0.000949947
3,1.90476,0.996504,0.000539985
4,1.90476,0.998112,0.000515612
4,1.80952,0.99688,0.000593296
4,1.71429,0.996184,0.000473016
4,1.61905,0.996144,0.000782856
4,1.52381,0.995168,0.00101773
4,1.42857,0.994224,0.000822328
4,1.33333,0.994744,0.000834305
4,1.2381,0.993368,0.00075404
4,1.14286,0.991512,0.00099129
4,1.04762,0.992328,0.00123532
4,0.952381,0.9886,0.00123806
4,0.857143,0.989024,0.000914453
4,0.761905,0.98572,0.00116344
4,0.666667,0.985752,0.000921356
4,0.571429,0.98596,0.000761052
4,0.47619,0.98024,0.00217697
4,0.380952,0.976144,0.00188851
4,0.285714,0.975896,0.00149999
