t,m
0,-0.997
1000,-0.9974
2000,-0.9972
3000,-0.9974
4000,-0.997
5000,-0.9964
6000,-0.996
7000,-0.9962
8000,-0.9956
9000,-0.9954
10000,-0.9956
11000,-0.995
12000,-0.995
13000,-0.9954
14000,-0.9958
15000,-0.996
16000,-0.9962
17000,-0.9962
18000,-0.996
19000,-0.9964
20000,-0.996
21000,-0.9962
22000,-0.9964
23000,-0.9968
24000,-0.9964
25000,-0.9972
26000,-0.9974
27000,-0.9968
28000,-0.9968
29000,-0.9968
30000,-0.9972
31000,-0.998
32000,-0.9978
33000,-0.9982
34000,-0.9978
35000,-0.998
36000,-0.998
37000,-0.9976
38000,-0.9974
39000,-0.9972
40000,-0.998
41000,-0.9984
42000,-0.9982
43000,-0.9982
44000,-0.9982
45000,-0.9976
46000,-0.9972
47000,-0.9966
48000,-0.9978
49000,-0.998
50000,-0.998
51000,-0.9978
52000,-0.9978
53000,-0.9982
54000,-0.9982
55000,-0.9982
56000,-0.9982
57000,-0.998
58000,-0.9974
59000,-0.9974
60000,-0.997
61000,-0.9968
62000,-0.9968
63000,-0.997
64000,-0.9978
65000,-0.9978
66000,-0.9976
67000,-0.9974
68000,-0.9976
69000,-0.9974
70000,-0.9968
71000,-0.9968
72000,-0.9974
73000,-0.9974
74000,-0.9978
75000,-0.9974
76000,-0.9976
77000,-0.9978
78000,-0.9978
79000,-0.9974
80000,-0.9968
81000,-0.997
82000,-0.9972
83000,-0.997
84000,-0.9966
85000,-0.9962
86000,-0.9964
87000,-0.9964
88000,-0.9962
89000,-0.9958
90000,-0.9962
91000,-0.9958
92000,-0.9958
93000,-0.9958
94000,-0.996
95000,-0.9964
96000,-0.9962
97000,-0.9962
98000,-0.9964
99000,-0.9962
