t,m
0,0.9972
1000,0.998
2000,0.9978
3000,0.9978
4000,0.9974
5000,0.9974
6000,0.9974
7000,0.9976
8000,0.9976
9000,0.998
10000,0.9982
11000,0.9978
12000,0.9976
13000,0.9976
14000,0.9974
15000,0.9976
16000,0.9976
17000,0.9974
18000,0.9974
19000,0.998
20000,0.998
21000,0.998
22000,0.9984
23000,0.9982
24000,0.998
25000,0.9982
26000,0.9978
27000,0.9982
28000,0.998
29000,0.9976
30000,0.9976
31000,0.9976
32000,0.9978
33000,0.9976
34000,0.9978
35000,0.9978
36000,0.9978
37000,0.9982
38000,0.9982
39000,0.9978
40000,0.998
41000,0.998
42000,0.998
43000,0.9976
44000,0.9976
45000,0.9972
46000,0.997
47000,0.997
48000,0.9968
49000,0.9972
50000,0.997
51000,0.9972
52000,0.9974
53000,0.9968
54000,0.997
55000,0.9972
56000,0.9974
57000,0.9974
58000,0.9974
59000,0.9974
60000,0.9974
61000,0.9976
62000,0.9972
63000,0.9972
64000,0.997
65000,0.997
66000,0.9966
67000,0.9966
68000,0.9968
69000,0.9966
70000,0.9966
71000,0.9966
72000,0.9966
73000,0.9966
74000,0.9968
75000,0.9968
76000,0.9968
77000,0.9968
78000,0.997
79000,0.9972
80000,0.9968
81000,0.9968
82000,0.997
83000,0.997
84000,0.997
85000,0.997
86000,0.997
87000,0.9972
88000,0.9972
89000,0.997
90000,0.9966
91000,0.9974
92000,0.9972
93000,0.9972
94000,0.9974
95000,0.9978
96000,0.9978
97000,0.9976
98000,0.9978
99000,0.9976
