t,m
0,0.9694
1000,0.9676
2000,0.9668
3000,0.9656
4000,0.9656
5000,0.966
6000,0.966
7000,0.9666
8000,0.9662
9000,0.9678
10000,0.9662
11000,0.9656
12000,0.9644
13000,0.9638
14000,0.9612
15000,0.9612
16000,0.9622
17000,0.9624
18000,0.9614
19000,0.9604
20000,0.9598
21000,0.96
22000,0.9614
23000,0.961
24000,0.9604
25000,0.9606
26000,0.96
27000,0.9602
28000,0.9592
29000,0.9604
30000,0.9594
31000,0.959
32000,0.9586
33000,0.9594
34000,0.9586
35000,0.9576
36000,0.9572
37000,0.957
38000,0.957
39000,0.9554
40000,0.9532
41000,0.9528
42000,0.9534
43000,0.9538
44000,0.9544
45000,0.9552
46000,0.9544
47000,0.9546
48000,0.9538
49000,0.9542
50000,0.9544
51000,0.955
52000,0.9548
53000,0.9568
54000,0.9562
55000,0.9556
56000,0.9562
57000,0.9586
58000,0.9582
59000,0.9606
60000,0.9598
61000,0.9612
62000,0.9612
63000,0.961
64000,0.9624
65000,0.9626
66000,0.9628
67000,0.9628
68000,0.9628
69000,0.9628
70000,0.963
71000,0.9608
72000,0.962
73000,0.9634
74000,0.9642
75000,0.9642
76000,0.9646
77000,0.9636
78000,0.9648
79000,0.966
80000,0.9662
81000,0.9666
82000,0.9662
83000,0.9646
84000,0.9628
85000,0.9616
86000,0.9646
87000,0.9646
88000,0.9642
89000,0.9628
90000,0.9634
91000,0.9616
92000,0.9596
93000,0.9588
94000,0.9582
95000,0.9596
96000,0.9606
97000,0.962
98000,0.9604
99000,0.9596
