t,m
0,-0.963
1000,-0.9632
2000,-0.9638
3000,-0.9646
4000,-0.965
5000,-0.963
6000,-0.961
7000,-0.9596
8000,-0.961
9000,-0.9596
10000,-0.9614
11000,-0.9626
12000,-0.9594
13000,-0.96
14000,-0.9612
15000,-0.96
16000,-0.9604
17000,-0.9602
18000,-0.96
19000,-0.9616
20000,-0.9626
21000,-0.9622
22000,-0.9618
23000,-0.961
24000,-0.9612
25000,-0.962
26000,-0.9616
27000,-0.9618
28000,-0.9626
29000,-0.9614
30000,-0.96
31000,-0.9584
32000,-0.9588
33000,-0.959
34000,-0.96
35000,-0.9608
36000,-0.9596
37000,-0.96
38000,-0.96
39000,-0.9594
40000,-0.959
41000,-0.9598
42000,-0.9586
43000,-0.959
44000,-0.9584
45000,-0.9604
46000,-0.958
47000,-0.957
48000,-0.957
49000,-0.9566
50000,-0.9556
51000,-0.958
52000,-0.9566
53000,-0.9582
54000,-0.958
55000,-0.9588
56000,-0.9586
57000,-0.9578
58000,-0.9582
59000,-0.9574
60000,-0.9582
61000,-0.9594
62000,-0.9594
63000,-0.9584
64000,-0.9576
65000,-0.9594
66000,-0.9562
67000,-0.957
68000,-0.9572
69000,-0.9558
70000,-0.9562
71000,-0.959
72000,-0.9592
73000,-0.9572
74000,-0.9584
75000,-0.9618
76000,-0.9632
77000,-0.963
78000,-0.9654
79000,-0.9644
80000,-0.9638
81000,-0.9646
82000,-0.9628
83000,-0.9642
84000,-0.9662
85000,-0.9656
86000,-0.9658
87000,-0.9654
88000,-0.9626
89000,-0.9626
90000,-0.9652
91000,-0.9636
92000,-0.9642
93000,-0.964
94000,-0.9622
95000,-0.9602
96000,-0.961
97000,-0.9604
98000,-0.961
99000,-0.9606
