t,m
0,-0.9928
1000,-0.9928
2000,-0.9926
3000,-0.9922
4000,-0.9932
5000,-0.9932
6000,-0.9924
7000,-0.9922
8000,-0.9922
9000,-0.992
10000,-0.9922
11000,-0.992
12000,-0.9926
13000,-0.9908
14000,-0.9908
15000,-0.9908
16000,-0.9908
17000,-0.9904
18000,-0.9914
19000,-0.9916
20000,-0.9912
21000,-0.991
22000,-0.991
23000,-0.9906
24000,-0.9896
25000,-0.9894
26000,-0.9896
27000,-0.9892
28000,-0.99
29000,-0.9898
30000,-0.9902
31000,-0.9892
32000,-0.9898
33000,-0.9902
34000,-0.989
35000,-0.9884
36000,-0.988
37000,-0.9876
38000,-0.987
39000,-0.9856
40000,-0.985
41000,-0.9858
42000,-0.987
43000,-0.9872
44000,-0.9876
45000,-0.9882
46000,-0.9884
47000,-0.9874
48000,-0.9872
49000,-0.9874
50000,-0.9874
51000,-0.987
52000,-0.9866
53000,-0.9862
54000,-0.9866
55000,-0.9872
56000,-0.986
57000,-0.9856
58000,-0.9864
59000,-0.9872
60000,-0.9884
61000,-0.9884
62000,-0.988
63000,-0.9874
64000,-0.9882
65000,-0.9876
66000,-0.9876
67000,-0.9876
68000,-0.9886
69000,-0.9882
70000,-0.9884
71000,-0.9878
72000,-0.9888
73000,-0.9882
74000,-0.9876
75000,-0.9868
76000,-0.987
77000,-0.9872
78000,-0.988
79000,-0.9882
80000,-0.9894
81000,-0.9898
82000,-0.9884
83000,-0.989
84000,-0.9896
85000,-0.9904
86000,-0.9912
87000,-0.9898
88000,-0.9898
89000,-0.9902
90000,-0.9906
91000,-0.99
92000,-0.9886
93000,-0.9892
94000,-0.9898
95000,-0.9892
96000,-0.989
97000,-0.9894
98000,-0.9902
99000,-0.9906
