t,m
0,0.979
1000,0.9776
2000,0.977
3000,0.976
4000,0.9766
5000,0.978
6000,0.9778
7000,0.9782
8000,0.9786
9000,0.979
10000,0.9782
11000,0.9794
12000,0.9786
13000,0.9778
14000,0.977
15000,0.9762
16000,0.9766
17000,0.9756
18000,0.9764
19000,0.9768
20000,0.9786
21000,0.9788
22000,0.979
23000,0.9782
24000,0.9778
25000,0.977
26000,0.9768
27000,0.9756
28000,0.9766
29000,0.978
30000,0.9786
31000,0.9804
32000,0.98
33000,0.9798
34000,0.98
35000,0.979
36000,0.9792
37000,0.9794
38000,0.9788
39000,0.9802
40000,0.9814
41000,0.98
42000,0.9798
43000,0.9786
44000,0.9772
45000,0.9774
46000,0.9774
47000,0.9788
48000,0.9776
49000,0.9762
50000,0.9784
51000,0.9778
52000,0.9778
53000,0.978
54000,0.979
55000,0.979
56000,0.9772
57000,0.9762
58000,0.9762
59000,0.9782
60000,0.9772
61000,0.9776
62000,0.978
63000,0.9788
64000,0.9802
65000,0.9802
66000,0.9806
67000,0.9804
68000,0.9808
69000,0.9794
70000,0.9806
71000,0.9792
72000,0.9802
73000,0.9794
74000,0.98
75000,0.9814
76000,0.981
77000,0.982
78000,0.9812
79000,0.98
80000,0.9786
81000,0.9772
82000,0.9772
83000,0.9772
84000,0.9776
85000,0.9758
86000,0.9766
87000,0.9762
88000,0.9776
89000,0.977
90000,0.9782
91000,0.9782
92000,0.9788
93000,0.9766
94000,0.9774
95000,0.9776
96000,0.9778
97000,0.9778
98000,0.9764
99000,0.9786
